Time Stamp,Model Name,Dataset,Number of Runs,Computation,Std Computation,Epoch,Number of Features,Hidden Channels,Learning Rate,Weight Decay,Dropout Rate,Criterion,Loss,Accuracy,Precision,Recall,F1,Std Loss,Std Accuracy,Std Precision,Std Recall,Std F1
2024-05-28 01:11:30,GraphSAGE LR 0.0005,chrome-run-01-without-centrality-metrics,1,7m 21s,0.0,1000,37,64,0.0005,0.0005,0.0,CrossEntropyLoss,0.1976398378610611,0.8248520710059172,0.6811337466784765,0.9015240328253223,0.7759838546922301,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:18:51,GraphSAGE LR 0.001,chrome-run-01-without-centrality-metrics,1,4m 25s,0.0,1000,37,64,0.001,0.0005,0.0,CrossEntropyLoss,0.20660263299942017,0.8347140039447731,0.7016728624535316,0.8851113716295428,0.782789009849663,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:23:16,GraphSAGE LR 0.005,chrome-run-01-without-centrality-metrics,1,7m 12s,0.0,1000,37,64,0.005,0.0005,0.0,CrossEntropyLoss,0.1560799777507782,0.8560157790927022,0.7723214285714286,0.8112543962485346,0.7913093196112064,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:30:29,GraphSAGE LR 0.01,chrome-run-01-without-centrality-metrics,1,7m 1s,0.0,1000,37,64,0.01,0.0005,0.0,CrossEntropyLoss,0.2307523638010025,0.7751479289940828,0.6050482553823311,0.9554513481828839,0.740909090909091,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:37:29,GraphSAGE LR 0.05,chrome-run-01-without-centrality-metrics,1,7m 2s,0.0,1000,37,64,0.05,0.0005,0.0,CrossEntropyLoss,0.34066328406333923,0.8039447731755424,0.8296296296296296,0.5252051582649473,0.6432160804020101,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:44:32,GraphSAGE DR 0.0,chrome-run-01-without-centrality-metrics,1,7m 3s,0.0,1000,37,64,0.005,0.0005,0.0,CrossEntropyLoss,0.12193506956100464,0.8497041420118343,0.7489451476793249,0.8323563892145369,0.7884508606329816,0.0,0.0,0.0,0.0,0.0
2024-05-28 01:51:35,GraphSAGE DR 0.1,chrome-run-01-without-centrality-metrics,1,8m 31s,0.0,1000,37,64,0.005,0.0005,0.1,CrossEntropyLoss,0.2970631718635559,0.8516765285996055,0.7359050445103857,0.8722157092614302,0.798283261802575,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:00:07,GraphSAGE DR 0.3,chrome-run-01-without-centrality-metrics,1,8m 42s,0.0,1000,37,64,0.005,0.0005,0.3,CrossEntropyLoss,0.29385700821876526,0.8378698224852071,0.7016423357664233,0.9015240328253223,0.789122626988199,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:08:49,GraphSAGE DR 0.5,chrome-run-01-without-centrality-metrics,1,8m 34s,0.0,1000,37,64,0.005,0.0005,0.5,CrossEntropyLoss,0.3265640437602997,0.8481262327416174,0.7358870967741935,0.8558030480656507,0.7913279132791328,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:17:23,GraphSAGE DR 0.7,chrome-run-01-without-centrality-metrics,1,8m 33s,0.0,1000,37,64,0.005,0.0005,0.7,CrossEntropyLoss,0.3861840069293976,0.8047337278106509,0.63984375,0.9601406799531067,0.7679324894514769,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:25:57,GraphSAGE WD 5e-5,chrome-run-01-without-centrality-metrics,1,7m 4s,0.0,1000,37,64,0.005,5e-05,0.0,CrossEntropyLoss,0.10233916342258453,0.8453648915187377,0.750816104461371,0.8089097303634232,0.7787810383747178,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:33:01,GraphSAGE WD 1e-5,chrome-run-01-without-centrality-metrics,1,8m 41s,0.0,1000,37,64,0.005,1e-05,0.1,CrossEntropyLoss,0.1894620656967163,0.8694280078895463,0.7701863354037267,0.8722157092614302,0.8180318856514567,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:41:42,GraphSAGE WD 5e-4,chrome-run-01-without-centrality-metrics,1,8m 33s,0.0,1000,37,64,0.005,0.0005,0.3,CrossEntropyLoss,0.28678110241889954,0.8575936883629192,0.7474849094567404,0.8710433763188745,0.8045479155387113,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:50:15,GraphSAGE WD 1e-4,chrome-run-01-without-centrality-metrics,1,8m 39s,0.0,1000,37,64,0.005,0.0001,0.5,CrossEntropyLoss,0.31055864691734314,0.8268244575936884,0.676320272572402,0.9308323563892146,0.7834237789837197,0.0,0.0,0.0,0.0,0.0
2024-05-28 02:58:55,GraphSAGE WD 5e-3,chrome-run-01-without-centrality-metrics,1,8m 35s,0.0,1000,37,64,0.005,0.005,0.7,CrossEntropyLoss,0.4216090440750122,0.7956607495069034,0.6319936958234831,0.94021101992966,0.7558906691800189,0.0,0.0,0.0,0.0,0.0
2024-06-05 17:58:14,GraphSAGE Experiment,chrome-run-01-without-centrality-metrics,1,4m 43s,0.0,505,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.27020925283432007,0.8487958941966048,0.7190388170055453,0.9078179696616102,0.8024755028365137,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:06:55,GraphSAGE Experiment,chrome-run-01-without-centrality-metrics,1,5m 8s,0.0,550,33,64,0.001,0.0005,0.2,CrossEntropyLoss,0.2894025146961212,0.8274772996446901,0.6813471502590673,0.9206534422403734,0.7831265508684863,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:14:26,GraphSAGE Experiment,chrome-run-01-without-centrality-metrics,1,5m 38s,0.0,600,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.2561590373516083,0.8495854717726017,0.7258064516129032,0.8926487747957993,0.8006279434850865,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:20:05,GraphSAGE Early Stop,chrome-run-01-without-centrality-metrics,1,4m 34s,0.0,480,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.2781994640827179,0.8440584287406238,0.7142857142857143,0.8984830805134189,0.7958656330749354,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:24:39,GraphSAGE Early Stop,chrome-run-01-without-centrality-metrics,1,5m 50s,0.0,602,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.2545256018638611,0.8531385708645874,0.7247451343836886,0.912485414235706,0.8078512396694214,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:30:29,GraphSAGE Early Stop,chrome-run-01-without-centrality-metrics,1,10m 26s,0.0,993,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.2338692992925644,0.8606395578365574,0.7413793103448276,0.9031505250875146,0.814308258811152,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:40:56,GraphSAGE Early Stop,chrome-run-01-without-centrality-metrics,1,10m 15s,0.0,1000,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.23757492005825043,0.8543229372285827,0.72803738317757,0.9089848308051341,0.8085106382978724,0.0,0.0,0.0,0.0,0.0
2024-06-05 18:51:12,GraphSAGE LR 0.0005,chrome-run-01-without-centrality-metrics,1,10m 33s,0.0,1000,33,64,0.0005,0.0001,0.1,CrossEntropyLoss,0.2559877634048462,0.8551125148045795,0.7276951672862454,0.9136522753792299,0.810139679255044,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:01:45,GraphSAGE LR 0.001,chrome-run-01-without-centrality-metrics,1,9m 27s,0.0,969,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.2290439009666443,0.8661666008685354,0.7534246575342466,0.8984830805134189,0.8195848855774348,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:11:12,GraphSAGE LR 0.005,chrome-run-01-without-centrality-metrics,1,6m 11s,0.0,642,33,64,0.005,0.0001,0.1,CrossEntropyLoss,0.22366458177566528,0.8551125148045795,0.7302631578947368,0.9066511085180864,0.8089536699635607,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:17:23,GraphSAGE LR 0.01,chrome-run-01-without-centrality-metrics,1,3m 13s,0.0,342,33,64,0.01,0.0001,0.1,CrossEntropyLoss,0.2595880925655365,0.863008290564548,0.7796052631578947,0.8296382730455076,0.8038439796495195,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:20:37,GraphSAGE LR 0.05,chrome-run-01-without-centrality-metrics,1,4m 55s,0.0,469,33,64,0.05,0.0001,0.1,CrossEntropyLoss,0.31948012113571167,0.8381365969206475,0.7548460661345496,0.7724620770128354,0.7635524798154555,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:25:35,GraphSAGE DR 0.0,chrome-run-01-without-centrality-metrics,1,3m 18s,0.0,423,33,64,0.001,0.0001,0.0,CrossEntropyLoss,0.21756260097026825,0.8318199763126727,0.6932735426008969,0.9019836639439907,0.783975659229209,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:28:53,GraphSAGE DR 0.1,chrome-run-01-without-centrality-metrics,1,6m 56s,0.0,701,33,64,0.001,0.0001,0.1,CrossEntropyLoss,0.24734511971473694,0.85748124753257,0.738003838771593,0.897316219369895,0.8098999473407055,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:35:50,GraphSAGE DR 0.3,chrome-run-01-without-centrality-metrics,1,3m 57s,0.0,400,33,64,0.001,0.0001,0.3,CrossEntropyLoss,0.3281228244304657,0.8168180023687327,0.6617283950617284,0.9381563593932322,0.7760617760617761,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:39:48,GraphSAGE DR 0.5,chrome-run-01-without-centrality-metrics,1,5m 27s,0.0,549,33,64,0.001,0.0001,0.5,CrossEntropyLoss,0.3446964621543884,0.8065534938807738,0.6441476826394344,0.9568261376896149,0.7699530516431925,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:45:15,GraphSAGE DR 0.7,chrome-run-01-without-centrality-metrics,1,8m 25s,0.0,895,33,64,0.001,0.0001,0.7,CrossEntropyLoss,0.3646399676799774,0.8037899723647849,0.6424050632911392,0.9474912485414235,0.7656765676567656,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:53:42,GraphSAGE WD 5e-5,chrome-run-01-without-centrality-metrics,1,2m 25s,0.0,319,33,64,0.001,5e-05,0.0,CrossEntropyLoss,0.23297885060310364,0.8357678641926569,0.7032258064516129,0.8903150525087514,0.7857878475798146,0.0,0.0,0.0,0.0,0.0
2024-06-05 19:56:07,GraphSAGE WD 1e-5,chrome-run-01-without-centrality-metrics,1,7m 48s,0.0,810,33,64,0.001,1e-05,0.1,CrossEntropyLoss,0.24639561772346497,0.8614291354125543,0.7456310679611651,0.8961493582263711,0.8139904610492846,0.0,0.0,0.0,0.0,0.0
2024-06-05 20:03:56,GraphSAGE WD 5e-4,chrome-run-01-without-centrality-metrics,1,4m 45s,0.0,488,33,64,0.001,0.0005,0.3,CrossEntropyLoss,0.3183805048465729,0.8207658902487169,0.6669428334714167,0.9393232205367561,0.7800387596899225,0.0,0.0,0.0,0.0,0.0
2024-06-05 20:08:41,GraphSAGE WD 1e-4,chrome-run-01-without-centrality-metrics,1,9m 12s,0.0,981,33,64,0.001,0.0001,0.5,CrossEntropyLoss,0.31795597076416016,0.8262929332806949,0.6792777300085985,0.9218203033838973,0.7821782178217822,0.0,0.0,0.0,0.0,0.0
2024-06-05 20:17:53,GraphSAGE WD 5e-3,chrome-run-01-without-centrality-metrics,1,6m 26s,0.0,684,33,64,0.001,0.005,0.7,CrossEntropyLoss,0.38531264662742615,0.7887879984208448,0.6214177978883861,0.9614935822637106,0.7549244159413652,0.0,0.0,0.0,0.0,0.0
